,Movie Name,Imdb Ratings,Genre,Run Time,Director,Stars,Votes,Certificate
18,Zindagi Na Milegi Dobara (2011),8.1,"Comedy, Drama",155 min,Zoya Akhtar,"Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,","67,965",U
19,Dil Chahta Hai (2001),8.1,"Comedy, Drama, Romance",183 min,Farhan Akhtar,"Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta,","66,830",Unrated
20,Sadak 2 (2020),1.1,"Action, Drama",133 min,Mahesh Bhatt,"Priyanka Bose,Gulshan Grover,Alia Bhatt,Sanjay Dutt,","64,767",15+
21,Dilwale Dulhania Le Jayenge (1995),8.1,"Drama, Romance",189 min,Aditya Chopra,"Shah Rukh Khan,Kajol,Amrish Puri,Farida Jalal,","63,542",U
22,Kal Ho Naa Ho (2003),8.0,"Comedy, Drama, Musical",186 min,Nikkhil Advani,"Preity Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan,","63,501",U
23,Bhaag Milkha Bhaag (2013),8.2,"Biography, Drama, Sport",186 min,Rakeysh Omprakash Mehra,"Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Art Malik,","61,176",U
24,Queen (2013),8.2,"Adventure, Comedy, Drama",146 min,Vikas Bahl,"Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,","60,726",UA
25,Gunday (2014),2.4,"Action, Drama, Romance",152 min,Ali Abbas Zafar,"Ranveer Singh,Arjun Kapoor,Priyanka Chopra,Irrfan Khan,","57,828",UA
26,Kahaani (2012),8.1,"Mystery, Thriller",122 min,Sujoy Ghosh,"Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui,","57,825",UA
27,Hera Pheri (2000),8.2,"Action, Comedy, Crime",156 min,Priyadarshan,"Akshay Kumar,Sunil Shetty,Paresh Rawal,Tabu,","57,087",U
28,Ghajini (2008),7.3,"Action, Drama, Mystery",186 min,A.R. Murugadoss,"Aamir Khan,Asin Thottumkal,Jiah Khan,Pradeep Singh Rawat,","56,447",UA
29,Coolie No,3.4,Comedy,134 min,David Dhawan,"Varun Dhawan,Sara Ali Khan,Paresh Rawal,Javed Jaffrey,","54,700",UA
30,Hotel Mumbai (2018),7.6,"Action, Drama, History",123 min,Anthony Maras,"Dev Patel,Armie Hammer,Nazanin Boniadi,Anupam Kher,","53,377",A
31,Airlift (2016),8.0,"Drama, History",130 min,Raja Menon,"Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,","52,905",UA
32,Baby (I) (2015),8.0,"Action, Thriller",159 min,Neeraj Pandey,"Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,","52,863",UA
33,OMG: Oh My God! (2012),8.1,"Comedy, Drama, Fantasy",125 min,Umesh Shukla,"Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Mahesh Manjrekar,","51,772",U
34,Sholay (1975),8.2,"Action, Adventure, Comedy",204 min,Ramesh Sippy,"Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,","51,305",U
35,Jab Tak Hai Jaan (2012),6.7,"Drama, Romance",198 min,Yash Chopra,"Shah Rukh Khan,Katrina Kaif,Anushka Sharma,Anupam Kher,","51,258",UA
36,Special Chabbis (2013),8.0,"Crime, Drama, Thriller",144 min,Neeraj Pandey,"Akshay Kumar,Anupam Kher,Manoj Bajpayee,Jimmy Sheirgill,","51,098",UA
37,The Lunchbox (2013),7.8,"Drama, Romance",104 min,Ritesh Batra,"Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,","50,547",U
38,Haider (2014),8.1,"Action, Crime, Drama",160 min,Vishal Bhardwaj,"Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,","50,453",UA
39,Don 2 (2011),7.1,"Action, Crime, Thriller",148 min,Farhan Akhtar,"Shah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra,","49,470",UA
40,Andaz Apna Apna (1994),8.2,"Action, Comedy, Romance",160 min,Rajkumar Santoshi,"Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,","49,319",U
41,Veer-Zaara (2004),7.8,"Drama, Family, Musical",192 min,Yash Chopra,"Shah Rukh Khan,Preity Zinta,Rani Mukerji,Kirron Kher,","49,103",U
42,Chennai Express (2013),6.0,"Action, Comedy",141 min,Rohit Shetty,"Deepika Padukone,Shah Rukh Khan,Sathyaraj,Nikitin Dheer,","48,952",UA
43,Kuch Kuch Hota Hai (1998),7.6,"Comedy, Drama, Musical",177 min,Karan Johar,"Shah Rukh Khan,Kajol,Rani Mukerji,Sana Saeed,","48,070",U
44,Jab We Met (2007),7.9,"Comedy, Drama, Romance",138 min,Imtiaz Ali,"Shahid Kapoor,Kareena Kapoor,Tarun Arora,Dara Singh,","47,734",U
45,Sanju (2018),7.7,"Biography, Comedy, Drama",155 min,Rajkumar Hirani,"Ranbir Kapoor,Paresh Rawal,Manisha Koirala,Vicky Kaushal,","47,535",UA
46,Laxmii (2020),2.3,"Action, Comedy, Horror",141 min,Lawrence Raghavendra,"Balakrishnan Thevar,Akshay Kumar,Kiara Advani,Sharad Kelkar,Ashwini Kalsekar,","46,454",15+
47,Kabhi Khushi Kabhie Gham,7.4,"Drama, Musical, Romance",210 min,Karan Johar,"Shah Rukh Khan,Kajol,Amitabh Bachchan,Hrithik Roshan,","45,026",U
48,Rab Ne Bana Di Jodi (2008),7.2,"Comedy, Drama, Music",167 min,Aditya Chopra,"Shah Rukh Khan,Anushka Sharma,Vinay Pathak,M.K. Raina,","43,868",U
49,Uri: The Surgical Strike (2018),8.2,"Action, Drama, War",138 min,Aditya Dhar,"Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,","43,474",UA
50,Lage Raho Munna Bhai (2006),8.0,"Comedy, Drama, Romance",144 min,Rajkumar Hirani,"Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,","43,168",U
51,Dhoom:3 (2013),5.4,"Action, Crime, Thriller",172 min,Vijay Krishna Acharya,"Aamir Khan,Katrina Kaif,Abhishek Bachchan,Uday Chopra,","43,128",UA
52,Udaan (2010),8.2,Drama,134 min,Vikramaditya Motwane,"Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor,","42,348",UA
53,Fan (I) (2016),7.0,"Action, Drama, Thriller",142 min,Maneesh Sharma,"Shah Rukh Khan,Shriya Pilgaonkar,Carolina Main,Sayani Gupta,","42,278",UA
54,M,7.8,"Biography, Drama, Sport",184 min,Neeraj Pandey,"Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,","40,455",U
55,Raees (2017),6.8,"Action, Crime, Drama",143 min,Rahul Dholakia,"Raj Arjun,Shubham Chintamani,Shubham Tukaram,Yug,","40,331",UA
56,Vicky Donor (2012),7.8,"Comedy, Romance",126 min,Shoojit Sircar,"Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,","39,716",UA
57,Rockstar (2011),7.7,"Drama, Music, Musical",159 min,Imtiaz Ali,"Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor,Kumud Mishra,","39,520",UA
58,Talaash (2012),7.2,"Crime, Drama, Fantasy",140 min,Reema Kagti,"Priyamvada Narayanan,Aamir Khan,Kareena Kapoor,Rani Mukerji,Rajkummar Rao,","39,392",UA
59,Pink (III) (2016),8.1,"Drama, Thriller",136 min,Aniruddha Roy Chowdhury,"Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,","39,234",UA
60,Om Shanti Om (2007),6.7,"Action, Comedy, Drama",162 min,Farah Khan,"Shah Rukh Khan,Deepika Padukone,Arjun Rampal,Kirron Kher,","39,013",UA
61,Devdas (I) (2002),7.6,"Drama, Musical, Romance",185 min,Sanjay Leela Bhansali,"Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit,Jackie Shroff,","38,438",U
62,Yeh Jawaani Hai Deewani (2013),7.1,"Drama, Musical, Romance",160 min,Ayan Mukherjee,"Ranbir Kapoor,Deepika Padukone,Aditya Roy Kapoor,Kalki Koechlin,","38,383",UA
63,Ra,4.7,"Action, Adventure, Sci-Fi",156 min,Anubhav Sinha,"Shah Rukh Khan,Arjun Rampal,Kareena Kapoor,Shahana Goswami,","38,251",U
64,Sultan (2016),7.0,"Action, Drama, Sport",170 min,Ali Abbas Zafar,"Salman Khan,Anushka Sharma,Kubbra Sait,Amit Sadh,","37,841",UA
65,Dear Zindagi (2016),7.6,"Drama, Romance",151 min,Gauri Shinde,"Alia Bhatt,Shah Rukh Khan,Kunal Kapoor,Priyanka Moodley,","36,060",UA
66,Don (I) (2006),7.2,"Action, Crime, Thriller",178 min,Farhan Akhtar,"Shah Rukh Khan,Priyanka Chopra,Arjun Rampal,Isha Koppikar,","34,365",UA
67,Race 3 (2018),1.9,"Action, Crime, Thriller",160 min,Remo D'Souza,"Anil Kapoor,Salman Khan,Bobby Deol,Jacqueline Fernandez,","34,301",UA
68,Happy New Year (I) (2014),5.0,"Action, Comedy, Crime",180 min,Farah Khan,"Shah Rukh Khan,Deepika Padukone,Abhishek Bachchan,Sarah Jane Dias,","34,141",U
69,Chhichhore (2019),8.2,"Comedy, Drama",143 min,Nitesh Tiwari,"Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik,","33,945",UA
70,English Vinglish (2012),7.8,"Comedy, Drama, Family",134 min,Gauri Shinde,"Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,","33,651",U
71,Black (2005),8.2,Drama,122 min,Sanjay Leela Bhansali,"Amitabh Bachchan,Rani Mukerji,Shernaz Patel,Ayesha Kapoor,","33,364",U
72,Paan Singh Tomar (2012),8.2,"Action, Biography, Crime",135 min,Tigmanshu Dhulia,"Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,","33,246",UA
73,Kai po che! (2013),7.7,"Drama, Sport",130 min,Abhishek Kapoor,"Amit Sadh,Sushant Singh Rajput,Rajkummar Rao,Amrita Puri,","32,647",U
74,Main Hoon Na (2004),7.0,"Action, Comedy, Drama",179 min,Farah Khan,"Shah Rukh Khan,Sushmita Sen,Sunil Shetty,Zayed Khan,","32,304",UA
75,Gully Boy (2019),8.0,"Drama, Music, Romance",154 min,Zoya Akhtar,"Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,","31,908",UA
76,Dilwale (2015),5.1,"Action, Comedy, Drama",158 min,Rohit Shetty,"Shah Rukh Khan,Kajol,Varun Dhawan,Kriti Sanon,","31,599",UA
77,Bajirao Mastani (2015),7.2,"Action, Drama, History",158 min,Sanjay Leela Bhansali,"Ranveer Singh,Deepika Padukone,Priyanka Chopra,Tanvi Azmi,","31,368",U
78,Talvar (2015),8.2,"Crime, Drama, Mystery",132 min,Meghna Gulzar,"Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah,","31,156",UA
79,Fanaa (2006),7.2,"Drama, Romance",168 min,Kunal Kohli,"Aamir Khan,Kajol,Rishi Kapoor,Tabu,","30,896",U
80,Anand (1971),8.4,"Drama, Musical",122 min,Hrishikesh Mukherjee,"Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo,","30,310",U
81,Jodhaa Akbar (2008),7.6,"Action, Drama, History",213 min,Ashutosh Gowariker,"Hrithik Roshan,Aishwarya Rai Bachchan,Sonu Sood,Poonam Sinha,","29,921",UA
82,Raanjhanaa (2013),7.6,"Drama, Romance",140 min,Aanand L. Rai,"Dhanush,Sonam Kapoor,Mohd. Zeeshan Ayyub,Swara Bhaskar,","29,546",UA
83,Ek Tha Tiger (2012),5.5,"Action, Romance, Thriller",132 min,Kabir Khan,"Salman Khan,Katrina Kaif,Girish Karnad,Roshan Seth,","29,033",UA
84,Piku (2015),7.6,"Comedy, Drama",123 min,Shoojit Sircar,"Deepika Padukone,Amitabh Bachchan,Irrfan Khan,Moushumi Chatterjee,","28,978",UA
85,Dev,8.0,"Drama, Romance",144 min,Anurag Kashyap,"Abhay Deol,Mahie Gill,Kalki Koechlin,Dibyendu Bhattacharya,","28,760",A
86,Wake Up Sid (2009),7.6,"Comedy, Drama, Romance",138 min,Ayan Mukherjee,"Ranbir Kapoor,Konkona Sen Sharma,Supriya Pathak,Anupam Kher,","28,302",U
87,Stree (2018),7.6,"Comedy, Horror",128 min,Amar Kaushik,"Rajkummar Rao,Shraddha Kapoor,Pankaj Tripathi,Aparshakti Khurana,","28,112",UA
88,Badhaai ho (2018),8.0,"Comedy, Drama",124 min,Amit Ravindernath Sharma,"Ayushmann Khurrana,Neena Gupta,Gajraj Rao,Sanya Malhotra,","27,996",UA
89,Dabangg (2010),6.2,"Action, Comedy",126 min,Abhinav Kashyap,"Salman Khan,Sonakshi Sinha,Sonu Sood,Arbaaz Khan,","27,874",UA
90,Tumbbad (2018),8.3,"Drama, Fantasy, Horror",104 min,Rahi Anil Barve,"Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe,Anita Date,Ronjini Chakraborty,","27,852",A
91,Ludo (2020),7.6,"Action, Comedy, Crime",149 min,Anurag Basu,"Pankaj Tripathi,Abhishek Bachchan,Rajkummar Rao,Fatima Sana Shaikh,","27,853",16
92,Padmaavat (2018),7.0,"Drama, History, Romance",164 min,Sanjay Leela Bhansali,"Deepika Padukone,Ranveer Singh,Shahid Kapoor,Aditi Rao Hydari,","27,604",UA
93,Mohabbatein (2000),7.1,"Musical, Drama, Romance",216 min,Aditya Chopra,"Amitabh Bachchan,Shah Rukh Khan,Uday Chopra,Jugal Hansraj,","27,315",U
94,Dil Se,7.6,"Drama, Romance",144 min,Mani Ratnam,"Shah Rukh Khan,Manisha Koirala,Preity Zinta,Raghuvir Yadav,","26,782",A
95,Aashiqui 2 (2013),7.0,"Drama, Music, Musical",132 min,Mohit Suri,"Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa,Salil Acharya,","26,664",U
96,Highway (I) (2014),7.6,"Crime, Drama, Romance",133 min,Imtiaz Ali,"Alia Bhatt,Randeep Hooda,Durgesh Kumar,Pradeep Nagar,","26,498",UA
97,Kabir Singh (2019),7.1,"Drama, Romance",173 min,Sandeep Reddy Vanga,"Shahid Kapoor,Kiara Advani,Nikita Dutta,Soham Majumdar,","26,396",A
98,Tanu Weds Manu Returns (2015),7.6,"Comedy, Drama, Romance",128 min,Aanand L. Rai,"Kangana Ranaut,Madhavan,Jimmy Sheirgill,Deepak Dobriyal,","26,298",UA
99,Baazigar (1993),7.7,"Crime, Drama, Musical",175 min,Abbas Alibhai Burmawalla,"Mastan Alibhai Burmawalla,Shah Rukh Khan,Kajol,Dalip Tahil,Rakhee Gulzar,","25,947",UA
100,Holiday (2014),7.2,"Action, Thriller",160 min,A.R. Murugadoss,"Akshay Kumar,Sonakshi Sinha,Freddy Daruwala,Sumeet Raghvan,","25,531",UA
101,Jaane Tu,7.5,"Comedy, Drama, Romance",155 min,Abbas Tyrewala,"Imran Khan,Genelia D'Souza,Manjari Fadnnis,Ayaz Khan,","25,453",U
102,Raazi (2018),7.8,"Action, Drama, Thriller",138 min,Meghna Gulzar,"Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,","25,359",UA
103,Chhapaak (2020),5.1,"Biography, Drama",120 min,Meghna Gulzar,"Deepika Padukone,Vikrant Massey,Madhurjeet Sarghi,Payal Nair,","24,731",UA
104,Kaabil (2017),7.1,"Action, Crime, Drama",139 min,Sanjay Gupta,"Hrithik Roshan,Yami Gautam,Ronit Roy,Rohit Roy,","24,250",UA
105,Gunjan Saxena: The Kargil Girl (2020),5.3,"Action, Biography, Drama",112 min,Sharan Sharma,"Janhvi Kapoor,Pankaj Tripathi,Angad Bedi,Manav Vij,","24,217",13
106,Kick (2014),5.3,"Action, Comedy, Crime",146 min,Sajid Nadiadwala,"Salman Khan,Jacqueline Fernandez,Nawazuddin Siddiqui,Randeep Hooda,","24,074",UA
107,Sarfarosh (1999),8.1,"Action, Drama",174 min,John Mathew Matthan,"Aamir Khan,Naseeruddin Shah,Sonali Bendre,Mukesh Rishi,","23,980",A
108,Dhoom:2 (2006),6.5,"Action, Crime, Thriller",152 min,Sanjay Gadhvi,"Hrithik Roshan,Abhishek Bachchan,Aishwarya Rai Bachchan,Uday Chopra,","23,918",UA
109,Masaan (2015),8.2,Drama,109 min,Neeraj Ghaywan,"Richa Chadha,Sanjay Mishra,Vicky Kaushal,Pankaj Tripathi,","23,760",A
110,Zero (III) (2018),5.4,"Comedy, Drama, Romance",164 min,Aanand L. Rai,"Shah Rukh Khan,Anushka Sharma,Katrina Kaif,Mohd. Zeeshan Ayyub,","23,690",UA
111,Tamasha (2015),7.3,"Comedy, Drama, Romance",139 min,Imtiaz Ali,"Deepika Padukone,Ranbir Kapoor,Ishwak Singh,Svetlana Tulasi,","23,583",UA
112,Rustom (2016),7.1,"Crime, Drama, Thriller",148 min,Dharmendra Suresh Desai,"Akshay Kumar,Ileana D'Cruz,Manoj Bajpayee,Kumud Mishra,","23,536",UA
113,Article 15 (2019),8.2,"Crime, Drama, Mystery",130 min,Anubhav Sinha,"Ayushmann Khurrana,Nassar,Manoj Pahwa,Kumud Mishra,","23,535",UA
114,2 States (2014),6.9,"Comedy, Drama, Romance",149 min,Abhishek Varman,"Arjun Kapoor,Alia Bhatt,Amrita Singh,Revathi,","23,488",UA
115,Hindi Medium (2017),7.8,"Comedy, Drama",132 min,Saket Chaudhary,"Irrfan Khan,Saba Qamar,Dishita Sehgal,Deepak Dobriyal,","23,400",U
116,Monsoon Wedding (2001),7.3,"Comedy, Drama, Romance",114 min,Mira Nair,"Naseeruddin Shah,Lillete Dubey,Shefali Shah,Vijay Raaz,","23,350",A
117,Kapoor & Sons (2016),7.7,"Comedy, Drama, Family",132 min,Shakun Batra,"Rishi Kapoor,Rajat Kapoor,Ratna Pathak Shah,Fawad Khan,","23,317",UA
118,Madras Cafe (2013),7.7,"Action, Drama, Thriller",130 min,Shoojit Sircar,"Nargis Fakhri,John Abraham,Raashi Khanna,Malini Sathappan,","22,882",UA
119,Gabbar Is Back (2015),7.1,"Action, Crime, Drama",128 min,Radha Krishna Jagarlamudi,"Akshay Kumar,Shruti Haasan,Kareena Kapoor,Suman,","22,651",UA
120,Badla (2019),7.8,"Crime, Drama, Mystery",118 min,Sujoy Ghosh,"Amitabh Bachchan,Taapsee Pannu,Amrita Singh,Antonio Aakeel,","22,426",UA
121,Agneepath (2012),6.9,"Action, Crime, Drama",174 min,Karan Malhotra,"Hrithik Roshan,Priyanka Chopra,Sanjay Dutt,Rishi Kapoor,","22,380",UA
122,Bodyguard (I) (2011),4.6,"Action, Comedy, Drama",130 min,Siddique,"Salman Khan,Kareena Kapoor,Raj Babbar,Hazel Keech,","22,277",UA
123,Khosla Ka Ghosla! (2006),8.3,"Comedy, Crime, Drama",135 min,Dibakar Banerjee,"Anupam Kher,Boman Irani,Parvin Dabas,Tara Sharma,","22,257",U
124,Jolly LLB 2 (2017),7.2,"Comedy, Drama",137 min,Subhash Kapoor,"Akshay Kumar,Huma Qureshi,Saurabh Shukla,Annu Kapoor,","22,233",UA
125,Darr (1993),7.8,"Action, Drama, Romance",178 min,Yash Chopra,"Juhi Chawla,Sunny Deol,Shah Rukh Khan,Anupam Kher,","22,183",UA
126,Tiger Zinda Hai (2017),5.9,"Action, Adventure, Thriller",161 min,Ali Abbas Zafar,"Salman Khan,Katrina Kaif,Anupriya Goenka,Neha Hinge,","22,014",UA
127,Guru (2007),7.7,"Biography, Drama",162 min,Mani Ratnam,"Mithun Chakraborty,Abhishek Bachchan,Aishwarya Rai Bachchan,Madhavan,","22,013",U
128,Bang Bang (I) (2014),5.5,"Action, Adventure, Comedy",153 min,Siddharth Anand,"Hrithik Roshan,Katrina Kaif,Pawan Malhotra,Danny Denzongpa,","21,976",UA
129,Bhool Bhulaiyaa (2007),7.3,"Comedy, Horror, Mystery",159 min,Priyadarshan,"Akshay Kumar,Vidya Balan,Shiney Ahuja,Ameesha Patel,","21,858",UA
130,Badlapur (2015),7.4,"Action, Crime, Drama",134 min,Sriram Raghavan,"Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam,Huma Qureshi,","21,798",A
131,Jo Jeeta Wohi Sikandar (1992),8.2,"Comedy, Drama, Romance",174 min,Mansoor Khan,"Aamir Khan,Ayesha Jhulka,Deepak Tijori,Pooja Bedi,","21,668",U
132,Eega (2012),7.7,"Action, Comedy, Fantasy",145 min,S.S. Rajamouli,"J.V.V. Sathyanarayana,Sudeep,Nani,Samantha Ruth Prabhu,Hamsa Nandini,","21,412",UA
133,Padman (2018),7.9,"Comedy, Drama",140 min,R. Balki,"Akshay Kumar,Radhika Apte,Sonam Kapoor,Jyoti Subhash,","21,300",UA
134,Koi,7.1,"Action, Drama, Romance",171 min,Rakesh Roshan,"Hrithik Roshan,Rekha,Preity Zinta,Rakesh Roshan,","21,254",U
135,Tanhaji: The Unsung Warrior (2020),7.6,"Action, Biography, Drama",135 min,Om Raut,"Ajay Devgn,Saif Ali Khan,Sharad Kelkar,Kajol,","21,155",UA
136,Parmanu: The Story of Pokhran (2018),7.6,"Action, Drama, History",129 min,Abhishek Sharma,"John Abraham,Boman Irani,Diana Penty,Anuja Sathe,","21,047",U
137,Super 30 (2019),7.9,"Biography, Drama",154 min,Vikas Bahl,"Hrithik Roshan,Mrunal Thakur,Nandish Singh,Virendra Saxena,","21,010",U
138,Ae Dil Hai Mushkil (2016),5.8,"Drama, Music, Musical",158 min,Karan Johar,"Ranbir Kapoor,Aishwarya Rai Bachchan,Anushka Sharma,Fawad Khan,","21,008",UA
139,Neerja (2016),7.7,"Biography, Drama, Thriller",122 min,Ram Madhvani,"Sonam Kapoor,Shabana Azmi,Yogendra Tiku,Abrar Zahoor,","20,953",U
140,Rock On!! (2008),7.7,"Drama, Music",145 min,Abhishek Kapoor,"Arjun Rampal,Farhan Akhtar,Luke Kenny,Purab Kohli,","20,855",U
141,Secret Superstar (2017),7.8,"Drama, Music",150 min,Advait Chandan,"Zaira Wasim,Meher Vij,Raj Arjun,Aamir Khan,","20,814",UA
142,Lakshya (2004),7.9,"Action, Drama, Romance",186 min,Farhan Akhtar,"Hrithik Roshan,Preity Zinta,Amitabh Bachchan,Om Puri,","20,750",UA
143,Dil To Pagal Hai (1997),7.0,"Comedy, Drama, Musical",180 min,Yash Chopra,"Shah Rukh Khan,Madhuri Dixit,Karisma Kapoor,Akshay Kumar,","20,713",U
144,Krrish 3 (2013),5.2,"Action, Sci-Fi",152 min,Rakesh Roshan,"Hrithik Roshan,Vivek Oberoi,Priyanka Chopra,Kangana Ranaut,","20,708",U
145,Namastey London (2007),7.1,"Comedy, Drama, Romance",128 min,Vipul Amrutlal Shah,"Akshay Kumar,Katrina Kaif,Rishi Kapoor,Clive Standen,","20,599",UA
146,Rowdy Rathore (2012),5.7,"Action, Comedy",140 min,Prabhu Deva,"Akshay Kumar,Sonakshi Sinha,Nassar,Yashpal Sharma,","20,546",UA
147,Ugly (2013),8.0,"Crime, Drama, Mystery",128 min,Anurag Kashyap,"Rahul Bhatt,Ronit Roy,Tejaswini Kolhapure,Vineet Kumar Singh,","20,175",A
148,Detective Byomkesh Bakshy! (2015),7.6,"Action, Crime, Drama",139 min,Dibakar Banerjee,"Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi,Divya Menon,","19,974",UA
149,Pyaar Ka Punchnama (2011),7.7,"Comedy, Drama, Romance",149 min,Luv Ranjan,"Kartik Aaryan,Raayo S. Bakhirta,Divyendu Sharma,Nushrat Bharucha,","19,947",UA
150,Bharat (2019),5.2,"Action, Comedy, Drama",150 min,Ali Abbas Zafar,"Salman Khan,Katrina Kaif,Sunil Grover,Tabu,","19,842",UA
151,War (2019),6.5,"Action, Thriller",154 min,Siddharth Anand,"Hrithik Roshan,Tiger Shroff,Vaani Kapoor,Ashutosh Rana,","19,419",UA
152,Sonu Ke Titu Ki Sweety (2018),7.1,"Comedy, Romance",138 min,Luv Ranjan,"Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar,Alok Nath,","19,415",UA
153,Bareilly Ki Barfi (2017),7.5,"Comedy, Romance",116 min,Ashwiny Iyer Tiwari,"Ayushmann Khurrana,Kriti Sanon,Rajkummar Rao,Pankaj Tripathi,","19,281",UA
